,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject
count,1044,1044,1044.0,1044,1044,1044,1044.0,1044.0,1044,1044,1044,1044,1044.0,1044.0,1044.0,1044,1044,1044,1044,1044,1044,1044,1044,1044.0,1044.0,1044.0,1044.0,1044.0,1044.0,1044.0,1044.0,1044.0,1044.0,1044
unique,2,2,,2,2,2,,,5,5,4,3,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,2
top,GP,F,,U,GT3,T,,,other,other,course,mother,,,,no,yes,no,no,yes,yes,yes,no,,,,,,,,,,,Portuguese
freq,772,591,,759,738,923,,,399,584,430,728,,,,925,640,824,528,835,955,827,673,,,,,,,,,,,649
mean,,,16.726053639846743,,,,2.603448275862069,2.3879310344827585,,,,,1.5229885057471264,1.9703065134099618,0.26436781609195403,,,,,,,,,3.935823754789272,3.2011494252873565,3.1561302681992336,1.4942528735632183,2.2844827586206895,3.543103448275862,4.434865900383142,11.21360153256705,11.246168582375478,11.341954022988507,
std,,,1.239974693164953,,,,1.1249065525083493,1.0999380837775727,,,,,0.7317274088255327,0.8343531961414865,0.6561417798335696,,,,,,,,,0.9334007716663543,1.0315068335871391,1.152574660205394,0.9117142815596279,1.285104806261859,1.424703412249021,6.210016564763469,2.9833939340154494,3.285071067982632,3.8647958043836046,
min,,,15.0,,,,0.0,0.0,,,,,1.0,1.0,0.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
25%,,,16.0,,,,2.0,1.0,,,,,1.0,1.0,0.0,,,,,,,,,4.0,3.0,2.0,1.0,1.0,3.0,0.0,9.0,9.0,10.0,
50%,,,17.0,,,,3.0,2.0,,,,,1.0,2.0,0.0,,,,,,,,,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,
75%,,,18.0,,,,4.0,3.0,,,,,2.0,2.0,0.0,,,,,,,,,5.0,4.0,4.0,2.0,3.0,5.0,6.0,13.0,13.0,14.0,
max,,,22.0,,,,4.0,4.0,,,,,4.0,4.0,3.0,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,75.0,19.0,19.0,20.0,
