Feature,Importance
G2,0.8844668516901866
absences,0.05689556442365915
G1,0.04410054962938616
subject_math,0.003310421251761847
subject_portuguese,0.0030184440796818955
goout,0.0017716588668565292
failures,0.0015994311775848417
traveltime,0.0012912511175831333
sex_M,0.0009699030406034451
sex_F,0.0005873102751401887
Mjob_teacher,0.00033523902377716457
age,0.0003247425130812807
nursery_no,0.0003089183740748255
studytime,0.00030066628192076245
nursery_yes,0.00018104601892485935
schoolsup_no,0.00016143180949735616
famsize_LE3,0.00014569037866647724
paid_no,9.110490935456593e-05
Walc,7.062796691242025e-05
schoolsup_yes,6.914717134651062e-05
health,0.0
Dalc,0.0
famrel,0.0
freetime,0.0
Medu,0.0
Fedu,0.0
school_MS,0.0
school_GP,0.0
Mjob_other,0.0
Mjob_health,0.0
Mjob_at_home,0.0
Pstatus_T,0.0
Pstatus_A,0.0
famsize_GT3,0.0
address_U,0.0
address_R,0.0
reason_course,0.0
Fjob_teacher,0.0
reason_home,0.0
Mjob_services,0.0
Fjob_other,0.0
Fjob_services,0.0
Fjob_at_home,0.0
Fjob_health,0.0
guardian_mother,0.0
guardian_other,0.0
reason_reputation,0.0
guardian_father,0.0
reason_other,0.0
famsup_yes,0.0
paid_yes,0.0
famsup_no,0.0
activities_no,0.0
activities_yes,0.0
higher_no,0.0
higher_yes,0.0
internet_yes,0.0
internet_no,0.0
romantic_yes,0.0
romantic_no,0.0
