Feature,Importance
G2,0.8225621797741951
absences,0.0590835939135211
G1,0.011061262499296691
studytime,0.010479197272765512
goout,0.007363153930077146
age,0.006305434523733717
health,0.005005579760491835
freetime,0.004335195452718103
famrel,0.0037392866430863564
subject_math,0.0034670895682478867
subject_portuguese,0.003407439086850614
reason_home,0.0033178269970797307
Walc,0.0030300441896079686
Fjob_services,0.002992989959918349
Medu,0.002823805221557528
Mjob_teacher,0.0026080029198985825
traveltime,0.0025935642663328477
Fedu,0.0025735836741899885
failures,0.002475499875418675
sex_M,0.002291830147255888
sex_F,0.0022128428553715804
reason_course,0.00213564632692266
Fjob_other,0.0019830002681358156
Dalc,0.00192870888752637
paid_yes,0.0017125326660794031
guardian_father,0.001667190400483242
reason_other,0.0016336539567646682
activities_no,0.0015174557573883764
Mjob_other,0.0014739333196104678
schoolsup_no,0.0013522737650745222
paid_no,0.0011917646278956579
reason_reputation,0.00113733186358216
famsup_yes,0.0011061752728250456
Mjob_services,0.0010415406500299564
schoolsup_yes,0.0010193687026448695
famsup_no,0.0009654904178308261
Mjob_at_home,0.0008958597312656481
higher_no,0.0008942364629929472
romantic_yes,0.0008636564731523806
higher_yes,0.0008344948430490754
nursery_no,0.0008339793939940748
nursery_yes,0.000808248808212853
activities_yes,0.000806018316976594
guardian_mother,0.0007964070383999523
famsize_LE3,0.0007878695945723321
Fjob_at_home,0.0007219799657043331
famsize_GT3,0.0006039600891330945
school_GP,0.0005916602504531905
Mjob_health,0.0005467403813516923
romantic_no,0.000535400774829883
address_U,0.0005276688085164434
school_MS,0.0005158447872387394
address_R,0.0004996120074195627
internet_yes,0.0004904873808335008
Pstatus_A,0.00042161777195350806
internet_no,0.00041938967938717406
Pstatus_T,0.0004138209586287524
Fjob_health,0.0002621197344896652
guardian_other,0.00017686592503295367
Fjob_teacher,0.00015659140800259588
